Count,Acres,PROTECTED,BpS_Name_105
1,0,NO,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1,0,NO,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1,0,NO,Laurentian-Acadian Swamp Systems
1,0,NO,North-Central Interior Wet Flatwoods
1,0,NO,Northeastern Interior Dry-Mesic Oak Forest
1,0,NO,Northeastern Interior Pine Barrens
1,0,NO,Northern Atlantic Coastal Plain Dune and Swale
1,0,NO,Northern Atlantic Coastal Plain Hardwood Forest
1,0,NO,Northern Atlantic Coastal Plain Maritime Forest
1,0,NO,Northern Atlantic Coastal Plain Pitch Pine Barrens
1,0,NO,Open Water
1,0,YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
1,0,YES,Acadian-Appalachian Alpine Tundra
1,0,YES,Acadian-Appalachian Montane Spruce-Fir Forest
1,0,YES,Appalachian (Hemlock-)Northern Hardwood Forest
1,0,YES,Barren-Rock/Sand/Clay
1,0,YES,Boreal Acidic Peatland Systems
1,0,YES,Central Appalachian Dry Oak-Pine Forest
1,0,YES,Central Appalachian Pine-Oak Rocky Woodland
1,0,YES,Central Interior and Appalachian Floodplain Systems
1,0,YES,Central Interior and Appalachian Riparian Systems
1,0,YES,Central Interior and Appalachian Swamp Systems
1,0,YES,Gulf and Atlantic Coastal Plain Swamp Systems
1,0,YES,Gulf and Atlantic Coastal Plain Tidal Marsh Systems
1,0,YES,Laurentian-Acadian Floodplain Systems
1,0,YES,Laurentian-Acadian Northern Hardwoods Forest
1,0,YES,Laurentian-Acadian Northern Pine(-Oak) Forest
1,0,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1,0,YES,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1,0,YES,Laurentian-Acadian Swamp Systems
1,0,YES,North-Central Interior Wet Flatwoods
1,0,YES,Northeastern Interior Dry-Mesic Oak Forest
1,0,YES,Northeastern Interior Pine Barrens
1,0,YES,Northern Atlantic Coastal Plain Dune and Swale
1,0,YES,Northern Atlantic Coastal Plain Hardwood Forest
1,0,YES,Northern Atlantic Coastal Plain Maritime Forest
1,0,YES,Northern Atlantic Coastal Plain Pitch Pine Barrens
1,0,YES,Open Water
