ID,COUNT,ACRES,newID
09001_138955,4,0.888,1
09001_136741,4,0.888,2
09001_135822,4,0.888,3
09001_135572,4,0.888,4
09001_139242,4,0.888,5
09001_139142,4,0.888,6
25003_35245,4,0.888,7
25003_15225,4,0.888,8
23031_94638,4,0.888,9
36119_000496,4,0.888,10
36103_264510,4,0.888,11
36103_202113,4,0.888,12
44009_40117,4,0.888,13
09001_136812,5,1.11,14
09001_139315,5,1.11,15
09001_135575,5,1.11,16
09001_139123,5,1.11,17
09001_139250,5,1.11,18
09011_053636,5,1.11,19
25007_03916,5,1.11,20
23015_08463,5,1.11,21
36091_60790,5,1.11,22
36071_056260,5,1.11,23
36071_048589,5,1.11,24
36103_139894,5,1.11,25
36113_25881,5,1.11,26
44009_17613,5,1.11,27
50025_27538,5,1.11,28
44009_22875,5,1.11,29
44007_068572,5,1.11,30
09001_138975,6,1.332,31
09001_267339,6,1.332,32
09001_139168,6,1.332,33
09001_139067,6,1.332,34
09001_137964,6,1.332,35
09011_103908,6,1.332,36
33003_03294,6,1.332,37
33003_03246,6,1.332,38
44005_01452,6,1.332,39
36103_284217,6,1.332,40
36113_27570,6,1.332,41
36103_253299,6,1.332,42
44009_17086,6,1.332,43
44009_17068,6,1.332,44
44005_07924,6,1.332,45
09001_152522,7,1.554,46
09001_200414,7,1.554,47
09001_145222,7,1.554,48
09005_40032,7,1.554,49
09011_052890,7,1.554,50
23025_08663,7,1.554,51
23003_13290,7,1.554,52
25007_02914,7,1.554,53
33015_048521,7,1.554,54
25027_107412,7,1.554,55
36119_185422,7,1.554,56
36091_61765,7,1.554,57
36103_002596,7,1.554,58
44009_22477,7,1.554,59
44009_16845,7,1.554,60
44009_42655,7,1.554,61
44009_28037,7,1.554,62
09001_138331,8,1.776,63
09001_104276,8,1.776,64
09009_052556,8,1.776,65
09011_054024,8,1.776,66
25003_01717,8,1.776,67
25007_03263,8,1.776,68
09015_14012,8,1.776,69
33003_39385,8,1.776,70
33003_38900,8,1.776,71
36103_184741,8,1.776,72
36103_178514,8,1.776,73
36103_114186,8,1.776,74
44009_17232,8,1.776,75
44005_09706,8,1.776,76
44009_10737,8,1.776,77
44009_17131,8,1.776,78
09001_067474,9,1.998,79
09001_138738,9,1.998,80
09001_200433,9,1.998,81
09001_137857,9,1.998,82
09001_104992,9,1.998,83
09001_139161,9,1.998,84
09001_138984,9,1.998,85
09001_108772,9,1.998,86
09001_139024,9,1.998,87
09001_135442,9,1.998,88
09001_200150,9,1.998,89
09001_135616,9,1.998,90
09001_136752,9,1.998,91
09007_07688,9,1.998,92
09007_43734,9,1.998,93
09011_103742,9,1.998,94
25003_13457,9,1.998,95
25003_62687,9,1.998,96
33015_048122,9,1.998,97
25015_34481,9,1.998,98
33003_38893,9,1.998,99
33003_03293,9,1.998,100
36119_193369,9,1.998,101
36071_121924,9,1.998,102
36103_574104,9,1.998,103
36103_003596,9,1.998,104
36119_055315,9,1.998,105
44009_16058,9,1.998,106
44009_22481,9,1.998,107
44009_22475,9,1.998,108
44009_22478,9,1.998,109
50009_3286,9,1.998,110
44009_25892,9,1.998,111
44009_24076,9,1.998,112
09001_224657,10,2.22,113
09001_147951,10,2.22,114
09001_072359,10,2.22,115
09001_069340,10,2.22,116
09001_167197,10,2.22,117
09001_138598,10,2.22,118
09001_139193,10,2.22,119
09001_139403,10,2.22,120
09001_139237,10,2.22,121
09001_138298,10,2.22,122
09001_069284,10,2.22,123
09011_092594,10,2.22,124
09011_078895,10,2.22,125
09011_083340,10,2.22,126
09011_083461,10,2.22,127
23031_66202,10,2.22,128
33003_38892,10,2.22,129
36103_023233,10,2.22,130
36119_184929,10,2.22,131
44009_25732,10,2.22,132
09001_139087,11,2.442,133
09001_139164,11,2.442,134
09001_139167,11,2.442,135
09001_139007,11,2.442,136
09001_063904,11,2.442,137
09001_063666,11,2.442,138
09001_152787,11,2.442,139
09001_137605,11,2.442,140
09001_199876,11,2.442,141
09001_200459,11,2.442,142
09001_200105,11,2.442,143
25007_10603,11,2.442,144
25003_13121,11,2.442,145
36119_193917,11,2.442,146
36103_254492,11,2.442,147
44009_17008,11,2.442,148
