BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,GROUPVEG,COUNT,InOrConus
14730,60,6014730,Gulf and Atlantic Coastal Plain Floodplain Systems,418,418,Willow Oak-Water Oak-American Elm-3,Riparian,3003330,CONUS
14740,60,6014740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,421,421,American Sycamore-Sugarberry-Pine-3,Riparian,1714247,CONUS
14790,60,6014790,Central Interior and Appalachian Swamp Systems,426,426,Red Maple-Black Ash-Blackgum-5,Riparian,55241,CONUS
14800,60,6014800,Gulf and Atlantic Coastal Plain Swamp Systems,427,427,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,2937746,CONUS
14900,60,6014900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,435,435,Saltmeadow Cordgrass-Saltgrass-Gulf Cordgrass-2,Riparian,1859408,CONUS
15010,60,6015010,Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,444,444,Atlantic White Cedar-4,Riparian,2117457,CONUS
13030,61,6113030,Northeastern Interior Dry-Mesic Oak Forest,279,279,White Oak-Black Oak-White Pine-1,Hardwood,26502868,CONUS
13150,61,6113150,Southern Appalachian Oak Forest,287,287,Chestnut Oak-White Oak-Chestnut-1,Hardwood,86002,CONUS
13160,61,6113160,Southern Piedmont Mesic Forest,288,288,Beech-3,Hardwood,781644,CONUS
13170,61,6113170,Allegheny-Cumberland Dry Oak Forest and Woodland,290,290,White Oak-Scarlet Oak-Chestnut-1,Hardwood,2029208,CONUS
13180,61,6113180,Southern and Central Appalachian Cove Forest,291,291,Beech-Basswood-Yellow Buckeye-3,Hardwood,3103176,CONUS
13200,61,6113200,Central and Southern Appalachian Montane Oak Forest,292,292,Red Oak-Chestnut-Black Birch-1,Hardwood,2324923,CONUS
13210,61,6113210,South-Central Interior Mesophytic Forest,293,293,Sugar Maple-Beech-Basswood-3,Hardwood,3949103,CONUS
13400,61,6113400,Appalachian Shale Barrens,308,308,Chestnut Oak-Virginia Pine-Rockcress-5,Hardwood,9721,CONUS
13500,61,6113500,Central and Southern Appalachian Spruce-Fir Forest,317,317,Red Spruce-Fir-Yellow Birch-5,Conifer,2432910,CONUS
13520,61,6113520,Southern Appalachian Montane Pine Forest and Woodland,319,319,Table Mountain Pine-Pitch Pine-1,Conifer,81247,CONUS
13530,61,6113530,Southern Appalachian Low-Elevation Pine Forest,320,320,Virginia Pine-Shortleaf Pine-1,Conifer,42523,CONUS
13680,61,6113680,Southern Piedmont Dry Oak(-Pine) Forest,336,336,White Oak-Southern Red Oak-Shortleaf Pine-1,Hardwood-Conifer,2253586,CONUS
13690,61,6113690,Central Appalachian Dry Oak-Pine Forest,337,337,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,7389534,CONUS
13700,61,6113700,Appalachian (Hemlock-)Northern Hardwood Forest,338,338,Beech-Hemlock-Sugar Maple-5,Hardwood,2398276,CONUS
13760,61,6113760,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,344,344,Post Oak-White Oak-Eastern Redcedar-1,Hardwood,234163,CONUS
13770,61,6113770,Central Appalachian Pine-Oak Rocky Woodland,345,345,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,436047,CONUS
14000,61,6114000,Central Appalachian Alkaline Glade and Woodland,362,362,Redcedar-Chinquapin Oak-Redbud-2,Savanna,192837,CONUS
14710,61,6114710,Central Interior and Appalachian Floodplain Systems,414,414,American Sycamore-Silver Maple-3,Riparian,976828,CONUS
14720,61,6114720,Central Interior and Appalachian Riparian Systems,416,416,River Birch-American Sycamore-3,Riparian,5236636,CONUS
14790,61,6114790,Central Interior and Appalachian Swamp Systems,426,426,Red Maple-Black Ash-Blackgum-5,Riparian,176803,CONUS
13030,62,6213030,Northeastern Interior Dry-Mesic Oak Forest,279,279,White Oak-Black Oak-White Pine-1,Hardwood,13442065,CONUS
13100,62,6213100,North-Central Interior Dry-Mesic Oak Forest and Woodland,285,285,White Oak-Black Oak-Mockernut Hickory-1,Hardwood,206889,CONUS
13130,62,6213130,North-Central Interior Beech-Maple Forest,286,286,Sugar Maple-Beech-Basswood-5,Hardwood,686058,CONUS
13170,62,6213170,Allegheny-Cumberland Dry Oak Forest and Woodland,290,290,White Oak-Scarlet Oak-Chestnut-1,Hardwood,7915419,CONUS
13210,62,6213210,South-Central Interior Mesophytic Forest,293,293,Sugar Maple-Beech-Basswood-3,Hardwood,4208311,CONUS
13700,62,6213700,Appalachian (Hemlock-)Northern Hardwood Forest,338,338,Beech-Hemlock-Sugar Maple-5,Hardwood,1050315,CONUS
14710,62,6214710,Central Interior and Appalachian Floodplain Systems,412,412,Silver Maple-American Sycamore-Black Willow-3,Riparian,923855,CONUS
14720,62,6214720,Central Interior and Appalachian Riparian Systems,416,416,River Birch-American Sycamore-3,Riparian,1856429,CONUS
14790,62,6214790,Central Interior and Appalachian Swamp Systems,426,426,Red Maple-Black Ash-Blackgum-5,Riparian,21339,CONUS
14930,62,6214930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,438,438,Upright Sedge-Bluejoint Grass-2,Riparian,19,CONUS
15180,62,6215180,North-Central Interior Wet Flatwoods,452,452,Pin Oak-Swamp White Oak-Maple-5,Hardwood,14623,CONUS
13100,52,5213100,North-Central Interior Dry-Mesic Oak Forest and Woodland,285,285,White Oak-Black Oak-Mockernut Hickory-1,Hardwood,2162,CONUS
13110,52,5213110,North-Central Interior Dry Oak Forest and Woodland,285,285,White Oak-Black Oak-Mockernut Hickory-1,Hardwood,174,CONUS
13940,52,5213940,North-Central Interior Oak Savanna,359,359,White Oak-Bur Oak-Big Bluestem-1,Hardwood,1174,CONUS
14210,52,5214210,Central Tallgrass Prairie,377,377,Big Bluestem-Switchgrass-2,Grassland,26,CONUS
14710,52,5214710,Central Interior and Appalachian Floodplain Systems,412,412,Silver Maple-American Sycamore-Black Willow-3,Riparian,1314,CONUS
14930,52,5214930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,438,438,Upright Sedge-Bluejoint Grass-2,Riparian,7,CONUS
13050,53,5313050,Southern Interior Low Plateau Dry-Mesic Oak Forest,281,281,White Oak-Black Oak-Chestnut Oak-2,Hardwood,24111,CONUS
13090,53,5313090,Southern Appalachian Northern Hardwood Forest,284,284,Sugar Maple-Beech-Yellow Buckeye-5,Hardwood,200826,CONUS
13150,53,5313150,Southern Appalachian Oak Forest,287,287,Chestnut Oak-White Oak-Chestnut-1,Hardwood,1608521,CONUS
13170,53,5313170,Allegheny-Cumberland Dry Oak Forest and Woodland,289,289,White Oak-Southern Red Oak-Chestnut-1,Hardwood,12173827,CONUS
13180,53,5313180,Southern and Central Appalachian Cove Forest,291,291,Beech-Basswood-Yellow Buckeye-3,Hardwood,2154192,CONUS
13210,53,5313210,South-Central Interior Mesophytic Forest,293,293,Sugar Maple-Beech-Basswood-3,Hardwood,23502028,CONUS
13520,53,5313520,Southern Appalachian Montane Pine Forest and Woodland,319,319,Table Mountain Pine-Pitch Pine-1,Conifer,22906,CONUS
13530,53,5313530,Southern Appalachian Low-Elevation Pine Forest,320,320,Virginia Pine-Shortleaf Pine-1,Conifer,20208,CONUS
13630,53,5313630,Central Interior Highlands Dry Acidic Glade and Barrens,329,329,Post Oak-Blackjack Oak-Black Hickory-1,Hardwood,1846,CONUS
13700,53,5313700,Appalachian (Hemlock-)Northern Hardwood Forest,338,338,Beech-Hemlock-Sugar Maple-5,Hardwood,479712,CONUS
13760,53,5313760,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,344,344,Post Oak-White Oak-Eastern Redcedar-1,Hardwood,220221,CONUS
14010,53,5314010,Central Interior Highlands Calcareous Glade and Barrens,363,363,Little Bluestem-Big Bluestem-Rosinweed-1,Grassland,7941,CONUS
14710,53,5314710,Central Interior and Appalachian Floodplain Systems,414,414,American Sycamore-Silver Maple-3,Riparian,1263495,CONUS
14720,53,5314720,Central Interior and Appalachian Riparian Systems,416,416,River Birch-American Sycamore-3,Riparian,3376985,CONUS
14790,53,5314790,Central Interior and Appalachian Swamp Systems,426,426,Red Maple-Black Ash-Blackgum-5,Riparian,68672,CONUS
13050,47,4713050,Southern Interior Low Plateau Dry-Mesic Oak Forest,281,281,White Oak-Black Oak-Chestnut Oak-2,Hardwood,27,CONUS
13100,47,4713100,North-Central Interior Dry-Mesic Oak Forest and Woodland,285,285,White Oak-Black Oak-Mockernut Hickory-1,Hardwood,177,CONUS
13130,47,4713130,North-Central Interior Beech-Maple Forest,286,286,Sugar Maple-Beech-Basswood-5,Hardwood,864,CONUS
13210,47,4713210,South-Central Interior Mesophytic Forest,293,293,Sugar Maple-Beech-Basswood-3,Hardwood,346,CONUS
13630,47,4713630,Central Interior Highlands Dry Acidic Glade and Barrens,329,329,Post Oak-Blackjack Oak-Black Hickory-1,Hardwood,337,CONUS
14710,47,4714710,Central Interior and Appalachian Floodplain Systems,414,414,American Sycamore-Silver Maple-3,Riparian,947,CONUS
14790,47,4714790,Central Interior and Appalachian Swamp Systems,426,426,Red Maple-Black Ash-Blackgum-5,Riparian,73,CONUS
