Count,BpS_Code_105,Zone_105,BpS_Model_105,BpS_Name_105,GroupVeg_105,LABEL_105,Departure_105,BpS_Code_110,Zone_110,BpS_Model_110,BpS_Name_110,GroupName_110,GroupVeg_110,LABEL_110,Departure_110,BPS_CODE_130,ZONE_130,BPS_MODEL_130,BPS_NAME_130,GROUPNAME_130,GROUPVEG_130,LABEL_130,Departure_130,us_105vdep,us_110vdep,us_130vdep,Parcel ID,fee - protection year,fee - orgname,easement - year,easement - orgname,PROTECTED
33,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,100,100,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Smooth Cordgrass-Saltmeadow Rush-Saltmeadow Cordgrass-2,Riparian,100,100,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Smooth Cordgrass-Saltmeadow Rush-Saltmeadow Cordgrass-2,Riparian,67,67,100,100,67,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
12,14360,65,6514360,Northern Atlantic Coastal Plain Dune and Swale,Grassland,54,54,14360,65,6514360,Northern Atlantic Coastal Plain Dune and Swale,American Beachgrass-Northern Bayberry-1,Grassland,56,56,14360,65,6514360,Northern Atlantic Coastal Plain Dune and Swale,American Beachgrass-Northern Bayberry-1,Grassland,31,31,54,56,31,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
3,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,77,77,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,77,77,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,77,77,58,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
2,15180,65,6515180,North-Central Interior Wet Flatwoods,Hardwood,99,99,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,99,99,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,11,11,99,99,11,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
3,15180,65,6515180,North-Central Interior Wet Flatwoods,Hardwood,99,99,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,99,99,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,Burnable Urban,Burnable Urban,99,99,121,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
3,15180,65,6515180,North-Central Interior Wet Flatwoods,Hardwood,Urban,Urban,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,,,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,Non-burnable Urban,Non-burnable Urban,120,120,120,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
1,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,100,100,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Smooth Cordgrass-Saltmeadow Rush-Saltmeadow Cordgrass-2,Riparian,100,100,31,na,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren,Barren,100,100,131,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
7,31,na,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren,Barren,31,na,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,,,31,na,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren,Barren,131,131,131,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
1,11,na,na,Open Water,Open Water,Water,Water,11,na,na,Open Water,Open Water,Open Water,,,11,na,na,Open Water,Open Water,Open Water,Water,Water,111,111,111,25007_03089,2001,The Nature Conservancy,2001,The Nature Conservancy,YES
15,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,82,82,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,83,83,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,82,83,75,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
18,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,79,79,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,80,79,58,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
3,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,82,82,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,,,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,82,180,75,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
1,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,82,82,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,,,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,Burnable Urban,Burnable Urban,82,180,121,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
2,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Riparian,36,36,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,,,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,40,40,36,180,40,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
20,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,78,78,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,77,77,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,71,71,78,77,71,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
4,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,77,77,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,78,77,68,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
1,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,77,77,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Burnable Urban,Burnable Urban,78,77,121,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
1,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,Urban,Urban,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,,,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Non-burnable Urban,Non-burnable Urban,120,120,120,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
1,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,79,79,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,Burnable Urban,Burnable Urban,80,79,121,09009_125228,2001,The Nature Conservancy,2001,Unknown,YES
427,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,78,78,68,09001_137961,2001,Private Land Owner,2001,The Nature Conservancy,YES
4,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,59,59,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,70,70,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,24,24,59,70,24,09001_137961,2001,Private Land Owner,2001,The Nature Conservancy,YES
29,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,63,63,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,66,66,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,71,71,63,66,71,09001_137961,2001,Private Land Owner,2001,The Nature Conservancy,YES
24,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,81,81,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,81,80,58,09001_137961,2001,Private Land Owner,2001,The Nature Conservancy,YES
29,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Riparian,42,42,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,41,41,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,40,40,42,41,40,09001_137961,2001,Private Land Owner,2001,The Nature Conservancy,YES
71,13660,66,6613660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,57,57,13660,66,6613660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,56,56,13660,66,6613660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,55,55,57,56,55,33003_13085,2001,Dan Hole Pond Watershed Trust,2002,The Nature Conservancy,YES
456,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,75,75,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,76,76,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,75,76,58,33003_13085,2001,Dan Hole Pond Watershed Trust,2002,The Nature Conservancy,YES
9,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,58,58,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,59,59,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,24,24,58,59,24,33003_13085,2001,Dan Hole Pond Watershed Trust,2002,The Nature Conservancy,YES
5,13620,66,6613620,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,83,83,13620,66,6613620,Laurentian-Acadian Northern Pine(-Oak) Forest,Red Pine-White Pine-White Oak-3,Hardwood-Conifer,82,82,13620,66,6613620,Laurentian-Acadian Northern Pine(-Oak) Forest,Red Pine-White Pine-White Oak-3,Hardwood-Conifer,74,74,83,82,74,33003_13085,2001,Dan Hole Pond Watershed Trust,2002,The Nature Conservancy,YES
30,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,76,76,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,76,76,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,76,76,58,33003_13085,2001,Dan Hole Pond Watershed Trust,2002,The Nature Conservancy,YES
9,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,57,57,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,58,58,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,24,24,57,58,24,33003_13085,2001,Dan Hole Pond Watershed Trust,2002,The Nature Conservancy,YES
16,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,Urban,Urban,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,,,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Non-burnable Urban,Non-burnable Urban,120,120,120,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
58,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,81,81,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,81,80,58,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
6,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Burnable Urban,Burnable Urban,78,78,121,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
50,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,60,60,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,65,65,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,71,71,60,65,71,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
6,15180,65,6515180,North-Central Interior Wet Flatwoods,Hardwood,84,84,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,84,84,15180,65,6515180,North-Central Interior Wet Flatwoods,Pin Oak-Swamp White Oak-Maple-5,Hardwood,11,11,84,84,11,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
430,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,78,78,68,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
102,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Riparian,42,42,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,41,41,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,40,40,42,41,40,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
1,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,60,60,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,65,65,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,Burnable Urban,Burnable Urban,60,65,121,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
32,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,63,63,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,66,66,13030,65,6513030,Northeastern Interior Dry-Mesic Oak Forest,White Oak-Black Oak-White Pine-1,Hardwood,71,71,63,66,71,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
23,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,59,59,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,70,70,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,24,24,59,70,24,09001_267391,2001,Private Land Owner,2002,The Nature Conservancy,YES
5,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,79,79,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,80,79,58,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
8,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,78,78,68,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
2,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,79,79,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,Burnable Urban,Burnable Urban,80,79,121,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
2,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Non-burnable Agriculture,Non-burnable Agriculture,78,78,180,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
1,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,79,79,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,Non-burnable Agriculture,Non-burnable Agriculture,80,79,180,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
2,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Burnable Urban,Burnable Urban,78,78,121,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
1,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Burnable Agriculture,Burnable Agriculture,78,78,181,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
1,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,,,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Non-burnable Agriculture,Non-burnable Agriculture,78,180,180,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
46,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Riparian,36,36,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,34,34,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,40,40,36,34,40,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
5,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Riparian,36,36,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,34,34,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,40,40,36,34,40,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
1,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,24,24,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,23,23,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,18,18,24,23,18,09011_025683,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
68,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,80,80,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,79,79,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,80,79,58,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
81,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,78,78,68,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
6,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,24,24,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,23,23,14800,65,6514800,Gulf and Atlantic Coastal Plain Swamp Systems,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,18,18,24,23,18,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
2,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,Urban,Urban,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,,,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,Non-burnable Urban,Non-burnable Urban,120,120,120,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
3,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,73,73,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,76,76,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,73,76,75,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
1,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,Urban,Urban,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,,,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Non-burnable Urban,Non-burnable Urban,120,120,120,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
1,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,58,58,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,61,61,13770,65,6513770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,24,24,58,61,24,09011_026892,2001,The Nature Conservancy,2003,The Nature Conservancy,YES
9,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Conifer,68,68,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,67,67,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,79,79,68,67,79,25007_07948,2001,The Nature Conservancy,2004,The Nature Conservancy,YES
3,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Conifer,68,68,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,,,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,79,79,68,180,79,25007_07948,2001,The Nature Conservancy,2004,The Nature Conservancy,YES
1,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Conifer,68,68,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,67,67,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,Burnable Urban,Burnable Urban,68,67,121,25007_07948,2001,The Nature Conservancy,2004,The Nature Conservancy,YES
1,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Conifer,Urban,Urban,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,,,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,Non-burnable Urban,Non-burnable Urban,120,120,120,25007_07948,2001,The Nature Conservancy,2004,The Nature Conservancy,YES
