Count,BpS_Code_105,Zone_105,BpS_Model_105,BpS_Name_105,GroupVeg_105,LABEL_105,Departure_105,BpS_Code_110,Zone_110,BpS_Model_110,BpS_Name_110,GroupName_110,GroupVeg_110,LABEL_110,Departure_110,BPS_CODE_130,ZONE_130,BPS_MODEL_130,BPS_NAME_130,GROUPNAME_130,GROUPVEG_130,LABEL_130,Departure_130,us_105vdep,us_110vdep,us_130vdep,Parcel ID,fee - protection year,fee - orgname,easement - year,easement - orgname,PROTECTED
14,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,83,83,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,82,82,13700,65,6513700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,83,82,58,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
41,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Riparian,32,32,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,33,33,14790,65,6514790,Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,40,40,32,33,40,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
3,13020,65,6513020,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Urban,Urban,13020,65,6513020,Laurentian-Acadian Northern Hardwoods Forest,Sugar Maple-Eastern Hemlock-5,Hardwood,,,13020,65,6513020,Laurentian-Acadian Northern Hardwoods Forest,Sugar Maple-Eastern Hemlock-5,Hardwood,Non-burnable Urban,Non-burnable Urban,120,120,120,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
4,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,58,58,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,,,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,Non-burnable Agriculture,Non-burnable Agriculture,58,180,180,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
2,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,58,58,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,,,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,Burnable Urban,Burnable Urban,58,180,121,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
91,13020,65,6513020,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,81,81,13020,65,6513020,Laurentian-Acadian Northern Hardwoods Forest,Sugar Maple-Eastern Hemlock-5,Hardwood,81,81,13020,65,6513020,Laurentian-Acadian Northern Hardwoods Forest,Sugar Maple-Eastern Hemlock-5,Hardwood,75,75,81,81,75,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
9,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Urban,Urban,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,,,13660,65,6513660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,Non-burnable Urban,Non-burnable Urban,120,120,120,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
7,13620,65,6513620,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,84,84,13620,65,6513620,Laurentian-Acadian Northern Pine(-Oak) Forest,Red Pine-White Pine-White Oak-3,Hardwood-Conifer,86,86,13620,65,6513620,Laurentian-Acadian Northern Pine(-Oak) Forest,Red Pine-White Pine-White Oak-3,Hardwood-Conifer,74,74,84,86,74,33005_31984,-99,NH Department of Resources & Economic Development,-99,NH Department of Resources & Economic Development,YES
70,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,71,71,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,71,75,75,44009_24681,-99,RI Department of Environmental Management,-99,NA in CBI since Fee only,YES
3,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,71,71,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,Burnable Urban,Burnable Urban,71,75,121,44009_24681,-99,RI Department of Environmental Management,-99,NA in CBI since Fee only,YES
1,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,Urban,Urban,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,,,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,Non-burnable Urban,Non-burnable Urban,120,120,120,44009_24681,-99,RI Department of Environmental Management,-99,NA in CBI since Fee only,YES
4,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Conifer,68,68,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,67,67,13550,65,6513550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Pitch Pine-Scrub Oak-1,Conifer,79,79,68,67,79,25007_05049,-99,Marthas Vineyard Land Bank,1991,The Nature Conservancy,YES
1,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,81,81,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,77,77,13690,65,6513690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,81,77,68,25007_05049,-99,Marthas Vineyard Land Bank,1991,The Nature Conservancy,YES
8,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,42,42,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,54,54,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,42,54,75,25007_05049,-99,Marthas Vineyard Land Bank,1991,The Nature Conservancy,YES
18,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,63,63,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,62,62,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,24,24,63,62,24,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
